,Title,Book Rating,imdbRating
56,The Hobbit,8.5,6.8
57,The Hobbit,8.5,6.8
58,Tuesdays with Morrie,8.14,7.5
59,La dernière leçon du parrain,8.14,7.9
60,Tuesdays with Morrie,8.14,7.5
61,Lord of the Flies,7.3,6.4
62,The Great Gatsby,7.78,7.3
63,Siddhartha,7.98,6.7
64,Like Water for Chocolate,7.88,7.2
65,To Kill a Mockingbird,8.52,8.3
66,To Kill a Mockingbird,8.52,8.3
67,The House of the Spirits,8.4,6.9
68,The House of the Spirits,8.4,6.9
69,Twelfth Night,7.94,8.1
70,Crime and Punishment,8.38,7.2
71,Crime and Punishment,8.38,7.2
72,A Portrait of the Artist as a Young Man,7.22,6.4
73,Great Expectations,7.5,6.8
74,Crime and Punishment,8.38,7.2
75,American Psycho,7.62,7.6
76,Siddhartha,7.98,6.7
77,Siddhartha,7.98,6.7
78,Siddhartha,7.98,6.7
79,Siddhartha,7.98,6.7
80,Siddhartha,7.98,6.7
81,Siddhartha,7.98,6.7
82,White Oleander,7.88,7.2
83,Great Expectations,7.5,6.8
84,The Hound of the Baskervilles,8.18,7.6
85,The Hound of the Baskervilles,8.18,7.6
86,The Hound of the Baskervilles,8.18,7.6
87,On the Road,7.28,6.1
88,On the Road,7.28,6.1
89,On the Road,7.28,6.1
90,On the Road,7.28,6.1
91,Where the Heart Is,8.0,6.8
92,Midwives,7.94,6.1
93,Slaughterhouse-Five,8.12,6.9
94,Perfume: The Story of a Murderer,8.0,7.5
95,Perfume: The Story of a Murderer,8.0,7.5
96,Beloved,7.54,5.9
97,Cloudy with a Chance of Meatballs,8.3,7.0
98,The Lovely Bones,7.56,6.7
99,The Lovely Bones,7.56,6.7
100,The Lovely Bones,7.56,6.7
101,The Catcher in the Rye,7.58,2.1
102,Ways of Seeing,7.5,8.6
103,Like Water for Chocolate,7.88,7.2
104,Like Water for Chocolate,7.88,7.2
105,Running with Scissors,7.4,6.2
106,The Brothers Karamazov,8.62,6.8
107,A Portrait of the Artist as a Young Man,7.22,6.4
108,A Portrait of the Artist as a Young Man,7.22,6.4
109,A Portrait of the Artist as a Young Man,7.22,6.4
110,The Count of Monte Cristo,8.44,7.8
111,The Count of Monte Cristo,8.44,7.8
112,Angeli e demoni,7.72,7.2
113,The Unbearable Lightness of Being,8.16,7.4
114,The Time Machine,7.74,5.9
115,The Time Machine,7.74,5.9
116,The Picture of Dorian Gray,8.12,7.6
117,LolLOTR: the Silmarillion,7.76,7.0
118,The Brothers Karamazov,8.62,6.8
119,The Picture of Dorian Gray,8.12,7.6
120,Asfixia,7.38,5.2
121,The Brothers Karamazov,8.62,6.8
122,The Brothers Karamazov,8.62,6.8
123,The Brothers Karamazov,8.62,6.8
124,The Very Hungry Caterpillar,8.58,5.3
125,The Brothers Karamazov,8.62,6.8
126,Moby Dick,6.94,7.4
127,The Brothers Karamazov,8.62,6.8
128,The Very Hungry Caterpillar,8.58,5.3
129,She's Come Undone,7.68,6.8
130,The Phantom Tollbooth,8.44,7.0
131,David Copperfield,7.92,7.8
132,Great Expectations,7.5,6.8
133,In Cold Blood,8.1,8.0
134,Blindness,8.16,6.6
135,Little Women,8.08,7.3
136,Wuthering Heights,7.64,7.7
137,Wuthering Heights,7.64,7.7
138,Wuthering Heights,7.64,7.7
139,Wuthering Heights,7.64,7.7
140,Wuthering Heights,7.64,7.7
141,The Thorn Birds,8.44,8.0
142,High Fidelity,7.88,7.5
143,About a Boy,7.58,7.1
144,About a Boy,7.58,7.1
145,The World According to Garp,8.14,7.2
146,Atlas Shrugged: Part I,7.36,5.7
147,Atlas Shrugged: Part I,7.36,5.7
148,Fahrenheit 451,7.94,7.3
149,Nineteen Eighty-Four,8.28,7.6
150,1984,8.28,7.2
151,The Unbearable Lightness of Being,8.16,7.4
152,1984,8.28,7.2
153,The Count of Monte Cristo,8.44,7.8
154,The Catcher in the Rye,7.58,2.1
155,A Tale of Two Cities,7.62,7.8
156,A Tale of Two Cities,7.62,7.8
157,A Tale of Two Cities,7.62,7.8
158,A Tale of Two Cities,7.62,7.8
159,A Tale of Two Cities,7.62,7.8
160,A Tale of Two Cities,7.62,7.8
161,A Tale of Two Cities,7.62,7.8
162,A Tale of Two Cities,7.62,7.8
163,Lord of the Flies,7.3,6.4
164,Lord of the Flies,7.3,6.4
165,Lord of the Flies,7.3,6.4
166,The Lorax,8.7,6.4
167,The Canterbury Tales,6.96,6.5
168,A Walk in the Woods,8.1,6.3
169,A Walk in the Woods,8.1,6.3
170,The Shipping News,7.66,6.8
171,Black Beauty,7.88,6.6
172,East of Eden,8.7,8.0
173,East of Eden,8.7,8.0
174,American Gods,8.22,8.1
175,Cat's Cradle,8.36,6.2
176,Lolita,7.76,7.6
177,Lolita,7.76,7.6
178,Gulliver's Travels,7.1,4.9
179,Fear and Loathing in Las Vegas,8.16,7.7
180,The Martian Chronicles,8.24,6.7
181,Bridget Jones's Diary,7.5,6.7
182,Moby Dick,6.94,7.4
183,Moby Dick,6.94,7.4
184,Moby Dick,6.94,7.4
185,Never Let Me Go,7.6,7.2
186,John Adams,8.1,8.6
187,Siddhartha,7.98,6.7
188,The Odyssey,7.46,7.0
189,The Odyssey,7.46,7.0
190,The Odyssey,7.46,7.0
191,Le portrait de Dorian Gray,8.12,6.3
192,A Tale of Two Cities,7.62,7.8
193,A Tale of Two Cities,7.62,7.8
194,Pride and Prejudice,8.48,8.9
195,The Secret Garden,8.24,7.3
196,The Secret Garden,8.24,7.3
197,Dear John,8.02,6.3
198,The Rescue,8.2,5.5
199,A Bend in the Road,8.04,6.4
200,Lord of the Flies,7.3,6.4
201,The Age of Innocence,7.86,7.2
202,Dear John,8.02,6.3
203,Where the Wild Things Are,8.44,6.8
204,The History of Love,7.82,6.4
205,The Adventures of Robinson Crusoe,7.32,8.1
206,Robinson Crusoe,7.32,5.9
207,Pride and Prejudice,8.48,8.9
